Instrument,Name,Email,Phone,Website,First Keyword
NeuroCom SMART Balance Master,,,,https://www.facebook.com/dizzypt/posts/d41d8cd9/10153653013897190/,vestibular
Bertec Balance Advantage,,,,https://www.facebook.com/FGCURehabSciences/posts/5752688518095307/,gait
Bertec Balance Advantage,,,,https://www.facebook.com/coronahillspt/videos/we-are-excited-to-announce-that-our-neurological-clinical-program-services-conti/438971101022900/,neurological
litegait,,,,https://www.facebook.com/litegait/videos/as-summer-comes-to-a-close-we-wanted-to-take-a-look-back-at-some-of-the-stand-ou/195758989158422/,gait
litegait,,,,https://www.facebook.com/litegait/videos/the-mobility-research-team-is-proud-to-welcome-these-facilities-to-the-litegait-/692259728567687/,gait
litegait,,,,https://www.facebook.com/litegait/videos/in-case-you-missed-it-heres-another-video-of-litegait-and-cyberdyne-inc-working-/10155369207783426/,gait
litegait,,,,https://www.facebook.com/litegait/videos/have-you-been-curious-about-the-litegait-system-and-how-it-can-help-your-facilit/271122224817847/,gait
litegait,,,,https://www.facebook.com/litegait/videos/from-supported-ambulation-to-sit-to-stand-assistance-to-seated-to-seated-transfe/460680331399042/,gait
litegait,,,,https://www.facebook.com/litegait/videos/now-this-is-how-to-cruise-into-a-new-week-litegait-was-made-to-be-versatile-lett/5296204043794204/,gait
litegait,,,,https://www.facebook.com/litegait/videos/have-you-been-curious-about-the-litegait-system-and-how-it-can-help-your-facilit/409185880070292/,gait
litegait,,,,https://www.facebook.com/litegait/videos/pt-month-tip-play-ballyou-can-use-litegait-for-more-than-gait-training-alone-the/530842051074437/,gait
litegait,,,,https://www.facebook.com/litegait/videos/have-you-been-curious-about-the-litegait-system-and-how-it-can-help-your-facilit/543681733352512/?m_entstream_source=video_home&player_suborigin=feed&player_format=permalink,gait
litegait,,,,https://www.facebook.com/nextsteporlando/videos/litegait/215618236205249/,gait
litegait,,,,https://www.facebook.com/expathealthcarebySynphaet/posts/litegait-provides-postural-control-and-weight-bearing-assistance-for-fall-free-t/201050211675684/,gait
litegait,,,,https://zh-cn.facebook.com/LiteGaitGR/events/,gait
litegait,,,,https://www.facebook.com/PhysioFunction/videos/mikey-was-in-the-clinic-today-using-the-litegait-over-the-treadmill-obstacles-we/390810805836408/,gait
litegait,,,,https://www.facebook.com/PhysioFunction/videos/mikey-using-the-litegait-again-this-week-in-his-physiotherapy-session-claire-one/565795691198245/,gait
litegait,,,,https://www.facebook.com/babybuilders/videos/gait-training-using-the-litegait-device-partial-weight-bearing-you-have-come-a-l/10201887171514953/,gait
litegait,,,,https://www.facebook.com/HealthStudioExercisePhysiology/videos/-litegait-did-you-know-that-our-new-litegait-machine-is-the-only-community-based/618608262491510/,gait
litegait,,,,https://www.facebook.com/HealthStudioExercisePhysiology/videos/-litegait-did-you-know-that-our-new-litegait-machine-is-the-only-community-based/618608262491510/,gait
litegait,,,,https://www.facebook.com/HealthStudioExercisePhysiology/videos/-litegait-did-you-know-that-our-new-litegait-machine-is-the-only-community-based/618608262491510/,gait
Ekso Indego,,,,https://www.facebook.com/nextlevelrehabasheville/videos/debbie-passed-the-100000-step-count-this-week-using-the-indego-exoskeleton-shes-/3353264298226330/,gait
Rewalk,,,,https://www.facebook.com/WesternMoMed/videos/jeff-carneal-walked-for-the-first-time-in-17-years-he-has-worked-with-wmmcs-reha/2235786616547760/,fall
Rewalk,,,,https://www.facebook.com/ReWalk/videos/its-more-than-walking/435195074949915/,gait
Lokomat,,,,https://www.facebook.com/fizyocare.int/videos/lokomat-is-a-technologically-advanced-robot-assisted-gait-training-device-as-the/299229485737389/,gait
Lokomat,,,,https://www.facebook.com/summitmedicalandscientific/posts/5069635036457044/,gait
Lokomat,,,,https://www.facebook.com/summitmedicalandscientific/videos/ğ€ğ¬ğ¤-ğ®ğ¬-ğšğ›ğ¨ğ®ğ­-ğ­ğ¡ğ-ğ‹ğ¨ğ¤ğ¨ğ¦ğšğ­-the-hocoma-lokomat-is-a-robotic-assisted-gait-trainer-f/427987909946884/,gait
Lokomat,,,,https://www.facebook.com/Dr.Hamamsy/videos/lokomat-therapy-ï¸/849083995803816/,neurological
Lokomat,,,,https://www.facebook.com/Dr.Hamamsy/posts/4797775840255269/,neurological
Lokomat,,,,https://www.facebook.com/UofARehabMedicine/posts/the-u-of-a-lokomat-gait-training-study-led-by-rehab-meds-lesley-wiart-was-featur/1193918030629359/,gait
Lokomat,,,,https://www.facebook.com/BeingFabulousWithCp/videos/this-is-me-at-lokomat-gait-training-therapy/309431853293871/,gait
Lokomat,,,,https://www.facebook.com/nkxclinic/videos/nrc-nkx-lokomat-neurokinetix-neurokinetixclinic-neurorehab-neurophysicaltherapy-/369177188613523/,neurological
Lokomat,,,,https://www.facebook.com/irehab.neurocare/videos/lokomat-training/404361150757901/,gait
Lokomat,,,,https://www.facebook.com/100083196459002/videos/395381732851706/?__so__=permalink,gait
Lokomat,,,,https://www.facebook.com/nextstepschicago/videos/the-lokomat-offers-a-perfectly-consistent-gait-pattern-and-effective-biofeedback/1007938509405593/,gait
CAREN computer assisted rehabilitation environment,,,,https://www.facebook.com/nydnrehab/videos/computer-assisted-rehabilitation-environment-caren-in-new-york/10154064251358363/,gait
GRAIL machine,,,,https://www.facebook.com/eyesliketimemachines/posts/so-the-post-falls-food-benefit-show-at-the-grail-brought-in-1145-lbs-of-food-not/227839453973232/,fall
c-mill therapy,,,,https://www.facebook.com/aevumphysiotherapy/videos/c-mill-gait-retraining/396292992783871/,gait
